pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numrecover,percentrecover,ratetested,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
1,Canada,Canada,26-03-2020,4018,25,39,4043,161603,230,5.69,4299,634,18.60,10.76,0.10,4,0.96,13814,230,93.35,3774,10.04,3902,10.38,37,0.10,453,1.20,4,0.01
1,Canada,Canada,27-03-2020,4675,14,53,4689,170644,256,5.46,4540,646,15.98,12.47,0.14,14,1.13,9041,26,93.41,4380,11.65,4510,12.00,51,0.14,526,1.40,6,0.02
1,Canada,Canada,28-03-2020,5386,39,59,5425,187448,502,9.25,4987,736,15.70,14.43,0.16,6,1.09,16804,246,89.66,4864,12.94,5226,13.90,57,0.15,579,1.54,6,0.02
1,Canada,Canada,29-03-2020,6255,3,61,6258,210435,522,8.34,5598,833,15.35,16.65,0.16,2,0.97,22987,20,90.68,5675,15.10,6005,15.98,59,0.16,684,1.82,6,0.02
1,Canada,Canada,30-03-2020,7424,13,89,7437,225705,1068,14.36,6005,1179,18.84,19.78,0.24,28,1.20,15270,546,84.44,6280,16.71,7096,18.88,84,0.22,764,2.03,9,0.02
1,Canada,Canada,31-03-2020,8536,12,96,8548,241138,1254,14.67,6415,1111,14.94,22.74,0.26,7,1.12,15433,186,84.21,7198,19.15,8108,21.57,88,0.23,822,2.19,10,0.03
1,Canada,Canada,01-04-2020,9595,18,109,9613,256933,1553,16.16,6835,1065,12.46,25.57,0.29,13,1.13,15795,299,82.71,7951,21.15,9016,23.99,100,0.27,886,2.36,11,0.03
1,Canada,Canada,02-04-2020,11268,15,138,11283,273666,1983,17.58,7280,1670,17.37,30.02,0.37,29,1.22,16733,430,81.20,9162,24.37,10410,27.69,126,0.34,1034,2.75,14,0.04
1,Canada,Canada,05-04-2020,15496,16,280,15512,324791,2335,15.05,8641,1608,11.57,41.27,0.74,49,1.81,12820,2335,83.14,12897,34.31,14041,37.35,260,0.69,1322,3.52,31,0.08
1,Canada,Canada,06-04-2020,16653,14,323,16667,336806,3616,21.70,8960,1155,7.45,44.34,0.86,43,1.94,12015,1281,76.37,12728,33.86,14576,38.78,299,0.80,1319,3.51,33,0.09
1,Canada,Canada,18-04-2020,33341,13,1467,33354,528057,11178,33.51,14048,1470,4.61,88.73,3.90,158,4.40,20356,11178,62.09,20709,55.09,19450,51.74,1236,3.29,1434,3.81,116,0.31
1,Canada,Canada,19-04-2020,34777,9,1580,34786,549349,11786,33.88,14615,1432,4.29,92.54,4.20,113,4.54,21292,608,61.58,21420,56.98,19274,51.28,1300,3.46,1486,3.95,123,0.33
1,Canada,Canada,20-04-2020,36823,8,1690,36831,559578,12585,34.17,14887,2045,5.88,97.98,4.50,110,4.59,10229,799,61.24,22556,60.01,20164,53.64,1367,3.64,1593,4.24,130,0.35
1,Canada,Canada,21-04-2020,38413,9,1834,38422,569878,13188,34.32,15161,1591,4.32,102.22,4.88,144,4.77,10300,603,60.90,23400,62.25,20525,54.60,1454,3.87,1623,4.32,133,0.35
1,Canada,Canada,22-04-2020,40179,11,1974,40190,612192,13986,34.80,16286,1768,4.60,106.92,5.25,140,4.91,42314,798,60.29,24230,64.46,20901,55.60,1539,4.09,1687,4.49,138,0.37
1,Canada,Canada,23-04-2020,42099,11,2146,42110,634917,14761,35.05,16891,1920,4.78,112.03,5.71,172,5.10,22725,775,59.85,25203,67.05,21345,56.78,1637,4.35,1717,4.57,136,0.36
1,Canada,Canada,24-04-2020,43877,11,2302,43888,660108,15541,35.41,17561,1778,4.22,116.76,6.12,156,5.25,25191,780,59.34,26045,69.29,21740,57.84,1733,4.61,1715,4.56,142,0.38
1,Canada,Canada,25-04-2020,45341,13,2465,45354,684271,16425,36.22,18204,1466,3.34,120.66,6.56,163,5.44,24163,884,58.35,26464,70.40,22036,58.62,1812,4.82,1714,4.56,143,0.38
1,Canada,Canada,26-04-2020,46884,11,2560,46895,707508,17321,36.94,18822,1541,3.40,124.76,6.81,95,5.46,23237,896,57.61,27014,71.87,22512,59.89,1843,4.90,1730,4.60,140,0.37
1,Canada,Canada,27-04-2020,48489,11,2707,48500,733705,18268,37.67,19519,1605,3.42,129.03,7.20,147,5.58,26197,947,56.75,27525,73.23,22820,60.71,1927,5.13,1667,4.43,145,0.39
1,Canada,Canada,28-04-2020,50015,11,2859,50026,754800,19231,38.44,20080,1526,3.15,133.09,7.61,152,5.72,21095,963,55.84,27936,74.32,22963,61.09,1956,5.20,1658,4.41,146,0.39
