startdate,enddate,countrycode,avg_polarity,avg_subjectivity,positive_count,negative_count
20200831,20200913,IS,0.02685185185,0.07222222222,18,3
20200831,20200913,NZ,0.05776915584415585,0.3589055375180375,71,33
20200831,20200913,AU,0.019454653303872058,0.31338195045695034,73,40
20200831,20200913,CY,0.022384036796536795,0.11731940836940838,95,15
20200831,20200913,CA,0.0445673787787191,0.29044397546897542,85,34
20200831,20200913,US,0.05124075652356903,0.38358876262626254,76,37
20200914,20200927,IS,0.02002849002,0.17506669256,32,8
20200914,20200927,NZ,0.079900267556517575,0.36158365199615204,82,46
20200914,20200927,AU,0.05579758297258298,0.30718347162097146,80,38
20200914,20200927,CY,0.06517534722,0.28653510551,67,25
20200914,20200927,US,0.074820211038961055,0.3202158038720538,77,34
20200914,20200927,CA,0.06614438131313132,0.3605648629148629,82,42
20200928,20201011,IS,0.022421506734006735,0.19293834175084176,54,13
20200928,20201011,NZ,0.10757462853986292,0.3493310425685426,80,47
20200928,20201011,AU,0.05986828553391054,0.31162276334776337,81,39
20200928,20201011,CY,0.06042421193829645,0.2715175903908298,60,25
20200928,20201011,US,0.05822427398989898,0.27849792568542576,86,39
20200928,20201011,CA,0.031793695887445885,0.396741883116883,72,40
20201012,20201025,AU,0.09085064239722142,0.4343880351130352,73,43
20201012,20201025,CA,0.05236488095238095,0.3024733405483406,78,32
20201012,20201025,IS,0.01063034188034188,0.08074252136752137,49,5
20201012,20201025,NZ,0.08423755411255412,0.33419408369408366,87,44
20201012,20201025,CY,0.04582196969696967,0.23732777777777777,85,26
20201012,20201025,US,0.07926454725829726,0.34221746031746044,78,38
20201026,20201108,IS,0.0293125,0.08323958333333334,39,4
20201026,20201108,NZ,0.08629172303391053,0.3558894300144299,84,41
20201026,20201108,AU,0.10389350649350652,0.3599645743145743,80,41
20201026,20201108,CY,0.0062907723063973095,0.23639812476618033,61,14
20201026,20201108,US,0.023439109848484847,0.29567215007215008,81,29
20201026,20201108,CA,0.04225943963443962,0.2748997067747068,83,32
20201109,20201122,IS,0.04801587301587302,0.18458104395604394,47,10
20201109,20201122,NZ,0.038842568542568547,0.31660007215007223,78,32
20201109,20201122,AU,0.12486852453102456,0.3754602994227995,83,47
20201109,20201122,CY,0.07998931072084482,0.20154356060606063,81,25
20201109,20201122,US,0.0412402597402597,0.2950269841269841,79,35
20201109,20201122,CA,0.07944588744588747,0.31855339105339105,85,37
20201123,20201206,IS,0.0491897233201581,0.156600790513834,43,10
20201123,20201206,NZ,0.04784647065897065,0.3326709355459355,79,35
20201123,20201206,AU,0.0897908189033189,0.24052579365079364,90,37
20201123,20201206,CY,0.1033564814814815,0.21290509259259258,66,21
20201123,20201206,US,0.1270932539682539,0.37574891774891796,96,92
20201123,20201206,CA,0.05672997835497837,0.4111435786435786,84,51
20201207,20201214,IS,0.02727272727272727,0.09739057239057239,18,4
20201207,20201214,NZ,0.07004592803030303,0.426151479076479,79,49
20201207,20201214,AU,0.08512868867243867,0.2876588564213565,79,33
20201207,20201214,CY,0.045909552845528466,0.1655284552845529,74,20
20201207,20201214,US,0.020798776455026458,0.31836177248677256,64,29
20201207,20201214,CA,0.04525476115319865,0.3221011303511304,81,36

